Endpoint,readTimestamp,rssi,tagMac
0b3312e6-5ace-11e9-a5b3-001d054d25e2,2019-11-07T18-12-07.733-0500,-60,0x5f8d49
0b3312e6-5ace-11e9-a5b3-001d054d25e2,2019-11-07T18-12-07.733-0500,-63,0x5f8d4d
0b3312e6-5ace-11e9-a5b3-001d054d25e2,2019-11-07T18-12-07.733-0500,-63,0x5f8d9e
0b3312e6-5ace-11e9-a5b3-001d054d25e2,2019-11-07T18-12-07.733-0500,-61,0x5f8d52
0b3312e6-5ace-11e9-a5b3-001d054d25e2,2019-11-07T18-12-07.733-0500,-64,0x5f8da1
0b3312e6-5ace-11e9-a5b3-001d054d25e2,2019-11-07T18-12-07.733-0500,-61,0x5f8d55
0b3312e6-5ace-11e9-a5b3-001d054d25e2,2019-11-07T18-12-07.733-0500,-62,0x5f8d4a
0b3312e6-5ace-11e9-a5b3-001d054d25e2,2019-11-07T18-12-07.733-0500,-59,0x5f8d9d
28bf8cde-5ad0-11e9-9334-001d054d25e2,2019-11-07T18-12-07.848-0500,-54,0x5f8e3f
28bf8cde-5ad0-11e9-9334-001d054d25e2,2019-11-07T18-12-07.848-0500,-59,0x5f8e3e
28bf8cde-5ad0-11e9-9334-001d054d25e2,2019-11-07T18-12-07.848-0500,-61,0x5f8e3d
28bf8cde-5ad0-11e9-9334-001d054d25e2,2019-11-07T18-12-07.848-0500,-56,0x5f8e40
28bf8cde-5ad0-11e9-9334-001d054d25e2,2019-11-07T18-12-07.848-0500,-64,0x5f8e41
494e2566-5ace-11e9-a61c-001d054d25e2,2019-11-07T18-12-08.033-0500,-65,0x5f8d4a
0759ef08-5ad0-11e9-aa8e-001d054d25e2,2019-11-07T18-12-08.531-0500,-64,0x5f8d4f
0759ef08-5ad0-11e9-aa8e-001d054d25e2,2019-11-07T18-12-08.531-0500,-61,0x5f8d56
5b5a9762-6519-11e9-a04b-001d054d25e2,2019-11-07T18-12-09.405-0500,-62,0x5f8e3b
5b5a9762-6519-11e9-a04b-001d054d25e2,2019-11-07T18-12-09.405-0500,-61,0x5f8e3a
5b5a9762-6519-11e9-a04b-001d054d25e2,2019-11-07T18-12-09.405-0500,-63,0x5f8e39
fdc58228-5ace-11e9-9e21-001d054d25e2,2019-11-07T18-12-09.619-0500,-65,0x5f8d52
fdc58228-5ace-11e9-9e21-001d054d25e2,2019-11-07T18-12-09.619-0500,-65,0x5f8d9d
3aa802b6-5ace-11e9-b479-001d054d25e2,2019-11-07T18-12-10.467-0500,-61,0x5f8e3a
3aa802b6-5ace-11e9-b479-001d054d25e2,2019-11-07T18-12-10.467-0500,-63,0x5f8e38
669043ca-5ace-11e9-bd04-001d054d25e2,2019-11-07T18-12-10.548-0500,-65,0x5f8d95
669043ca-5ace-11e9-bd04-001d054d25e2,2019-11-07T18-12-10.548-0500,-61,0x5f8d99
669043ca-5ace-11e9-bd04-001d054d25e2,2019-11-07T18-12-10.548-0500,-64,0x5f8d97
669043ca-5ace-11e9-bd04-001d054d25e2,2019-11-07T18-12-10.548-0500,-65,0x5f8da3
669043ca-5ace-11e9-bd04-001d054d25e2,2019-11-07T18-12-10.548-0500,-61,0x5f8d43
669043ca-5ace-11e9-bd04-001d054d25e2,2019-11-07T18-12-10.548-0500,-65,0x5f8da6
669043ca-5ace-11e9-bd04-001d054d25e2,2019-11-07T18-12-10.548-0500,-54,0x5f8d98
669043ca-5ace-11e9-bd04-001d054d25e2,2019-11-07T18-12-10.548-0500,-58,0x5f8d47
669043ca-5ace-11e9-bd04-001d054d25e2,2019-11-07T18-12-10.548-0500,-61,0x5f8d9a
669043ca-5ace-11e9-bd04-001d054d25e2,2019-11-07T18-12-10.548-0500,-60,0x5f8da5
669043ca-5ace-11e9-bd04-001d054d25e2,2019-11-07T18-12-10.548-0500,-60,0x5f8d44
669043ca-5ace-11e9-bd04-001d054d25e2,2019-11-07T18-12-10.548-0500,-59,0x5f8d46
7a44f3f2-5ace-11e9-9856-001d054d25e2,2019-11-07T18-12-10.703-0500,-64,0x5f8d98
8c821130-5ace-11e9-8cbd-001d054d25e2,2019-11-07T18-12-10.840-0500,-64,0x5f8d48
8c821130-5ace-11e9-8cbd-001d054d25e2,2019-11-07T18-12-10.840-0500,-64,0x5f8d49
8c821130-5ace-11e9-8cbd-001d054d25e2,2019-11-07T18-12-10.840-0500,-58,0x5f8d4e
8c821130-5ace-11e9-8cbd-001d054d25e2,2019-11-07T18-12-10.840-0500,-57,0x5f8d4d
8c821130-5ace-11e9-8cbd-001d054d25e2,2019-11-07T18-12-10.840-0500,-58,0x5f8d52
8c821130-5ace-11e9-8cbd-001d054d25e2,2019-11-07T18-12-10.840-0500,-57,0x5f8da1
8c821130-5ace-11e9-8cbd-001d054d25e2,2019-11-07T18-12-10.840-0500,-62,0x5f8d4f
8c821130-5ace-11e9-8cbd-001d054d25e2,2019-11-07T18-12-10.840-0500,-60,0x5f8d55
8c821130-5ace-11e9-8cbd-001d054d25e2,2019-11-07T18-12-10.840-0500,-61,0x5f8d9f
8c821130-5ace-11e9-8cbd-001d054d25e2,2019-11-07T18-12-10.840-0500,-62,0x5f8d56
8c821130-5ace-11e9-8cbd-001d054d25e2,2019-11-07T18-12-10.840-0500,-61,0x5f8d4a
8c821130-5ace-11e9-8cbd-001d054d25e2,2019-11-07T18-12-10.840-0500,-60,0x5f8d50
8c821130-5ace-11e9-8cbd-001d054d25e2,2019-11-07T18-12-10.840-0500,-56,0x5f8d9d
8c821130-5ace-11e9-8cbd-001d054d25e2,2019-11-07T18-12-10.840-0500,-60,0x5f8da0
8c821130-5ace-11e9-8cbd-001d054d25e2,2019-11-07T18-12-10.840-0500,-63,0x5f8d51
1fc6a334-5acf-11e9-94a9-001d054d25e2,2019-11-07T18-12-11.168-0500,-60,0x5f8da0
1fc6a334-5acf-11e9-94a9-001d054d25e2,2019-11-07T18-12-11.168-0500,-65,0x5f8d53
1fc6a334-5acf-11e9-94a9-001d054d25e2,2019-11-07T18-12-11.168-0500,-63,0x5f8d4d
1fc6a334-5acf-11e9-94a9-001d054d25e2,2019-11-07T18-12-11.168-0500,-59,0x5f8d4f
1fc6a334-5acf-11e9-94a9-001d054d25e2,2019-11-07T18-12-11.168-0500,-64,0x5f8d55
